,Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/20/2015,2,9,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/21/2015,3,10,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/22/2015,6,8,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/23/2015,4,8,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/24/2015,13,24,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/25/2015,14,24,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/26/2015,27,30,23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/27/2015,24,32,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/28/2015,14,31,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/01/2015,-14,-10,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/02/2015,-8,-1,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/03/2015,8,24,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/04/2015,-1,5,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/05/2015,-6,-4,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/06/2015,-5,2,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/07/2015,4,11,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/08/2015,-10,-2,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/09/2015,-16,-12,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/10/2015,-27,-19,-40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/11/2015,-36,-27,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/12/2015,-37,-29,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/13/2015,-36,-26,-42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/14/2015,-34,-25,-40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/15/2015,-30,-18,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/16/2015,-18,-7,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/17/2015,0,13,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/18/2015,0,9,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/19/2015,0,4,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/20/2015,-1,3,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/21/2015,-5,-2,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/22/2015,-5,0,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/23/2015,-7,1,-28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/24/2015,-18,-10,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/25/2015,-6,14,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/26/2015,-5,4,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/27/2015,-9,-1,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/28/2015,-2,7,-7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/29/2015,-4,3,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/30/2015,-8,3,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/31/2015,-6,4,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/01/2015,-3,5,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/02/2015,-1,9,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/03/2015,-4,11,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/04/2015,-10,-3,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/05/2015,-14,0,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/06/2015,-9,3,-26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/07/2015,2,5,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/08/2015,6,15,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/09/2015,5,11,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/10/2015,10,15,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/11/2015,9,17,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/12/2015,3,18,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/13/2015,-3,13,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/14/2015,-6,11,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/15/2015,-7,7,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/16/2015,-4,12,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/17/2015,4,11,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/18/2015,6,17,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/19/2015,11,25,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/20/2015,24,40,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/21/2015,24,26,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/22/2015,29,37,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/23/2015,31,38,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/24/2015,22,36,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/25/2015,16,30,3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/26/2015,10,33,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/27/2015,7,25,-7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/28/2015,9,21,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/29/2015,18,28,11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/30/2015,17,21,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/01/2015,17,24,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/02/2015,18,35,4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/03/2015,24,47,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/04/2015,21,30,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/05/2015,20,34,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/06/2015,17,26,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/07/2015,24,42,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/08/2015,34,50,20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/09/2015,36,45,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/10/2015,32,36,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/11/2015,35,42,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/12/2015,42,52,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/13/2015,31,36,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/14/2015,32,35,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/15/2015,39,52,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/16/2015,43,50,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/17/2015,48,60,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/18/2015,50,65,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/19/2015,48,59,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/20/2015,48,60,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/21/2015,48,61,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/22/2015,46,55,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/23/2015,44,56,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/24/2015,47,65,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/25/2015,42,49,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/26/2015,46,56,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/27/2015,52,65,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/28/2015,51,64,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/29/2015,40,47,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/30/2015,43,49,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/31/2015,34,,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/01/2015,36,45,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/02/2015,34,37,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/03/2015,33,39,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/04/2015,30,35,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/05/2015,36,42,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/06/2015,45,56,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/07/2015,53,63,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/08/2015,53,62,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/09/2015,50,58,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/10/2015,48,64,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/11/2015,40,45,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/12/2015,50,58,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/13/2015,57,65,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/14/2015,65,78,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/15/2015,58,72,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/16/2015,58,71,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/17/2015,65,76,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/18/2015,61,70,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/19/2015,63,72,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/20/2015,70,85,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/21/2015,74,85,57,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/22/2015,67,74,54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/23/2015,71,83,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/24/2015,67,78,54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/25/2015,62,70,52,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/26/2015,58,69,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/27/2015,53,58,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/28/2015,63,73,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/29/2015,65,77,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/30/2015,62,75,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/01/2015,59,65,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/02/2015,59,70,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/03/2015,56,63,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/04/2015,61,70,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/05/2015,64,76,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/06/2015,69,85,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/07/2015,58,70,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/08/2015,45,56,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/09/2015,47,59,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/10/2015,49,60,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/11/2015,48,59,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/12/2015,44,50,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/13/2015,48,57,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/14/2015,51,60,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/15/2015,49,59,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/16/2015,57,77,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/17/2015,52,58,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/18/2015,59,70,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/19/2015,49,53,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/20/2015,52,59,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/21/2015,56,67,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/22/2015,52,68,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/23/2015,44,49,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/24/2015,47,59,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/25/2015,47,58,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/26/2015,46,51,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/27/2015,48,53,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/28/2015,45,53,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/29/2015,44,49,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/30/2015,49,61,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/31/2015,53,69,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/01/2015,50,53,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/02/2015,58,66,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/03/2015,60,68,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/04/2015,48,52,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/05/2015,43,48,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/06/2015,44,56,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/07/2015,48,61,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/08/2015,47,53,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/09/2015,47,50,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/10/2015,42,44,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/11/2015,42,47,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/12/2015,49,62,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/13/2015,54,59,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/14/2015,53,60,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/15/2015,48,53,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/16/2015,40,48,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/17/2015,36,39,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/18/2015,36,40,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/19/2015,37,41,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/20/2015,42,52,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/21/2015,47,59,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/22/2015,46,58,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/23/2015,40,42,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/24/2015,46,54,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/25/2015,53,57,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/26/2015,48,55,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/27/2015,38,43,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/28/2015,38,44,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/29/2015,38,44,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/30/2015,36,42,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/31/2015,35,42,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/01/2015,40,52,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/02/2015,41,56,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/03/2015,40,53,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/04/2015,40,54,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/05/2015,37,51,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/06/2015,38,52,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/07/2015,38,41,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/08/2015,35,38,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/09/2015,31,35,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/10/2015,30,32,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/11/2015,34,38,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/12/2015,32,40,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/13/2015,35,44,23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/14/2015,32,35,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/15/2015,33,34,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/16/2015,29,31,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/17/2015,29,32,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/18/2015,27,29,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/19/2015,28,32,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/20/2015,27,29,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/21/2015,28,32,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/22/2015,24,29,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/23/2015,18,26,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/24/2015,24,37,8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/25/2015,32,36,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/26/2015,30,32,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/27/2015,24,26,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/28/2015,24,30,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/29/2015,20,32,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/30/2015,26,33,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/01/2015,25,33,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/02/2015,29,38,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/03/2015,35,41,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/04/2015,33,35,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/05/2015,30,31,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/06/2015,25,27,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/07/2015,22,24,19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/08/2015,22,24,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/09/2015,23,24,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/10/2015,17,21,5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/11/2015,6,15,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/12/2015,10,22,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/13/2015,17,26,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/14/2015,22,29,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/15/2015,11,22,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/16/2015,8,16,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/17/2015,19,24,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/18/2015,19,23,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/19/2015,24,26,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/20/2015,22,24,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/21/2015,23,24,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/22/2015,20,22,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/23/2015,13,22,5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/24/2015,-1,5,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/25/2015,12,20,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/26/2015,18,20,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/27/2015,18,20,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/28/2015,15,18,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/29/2015,14,15,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/30/2015,-2,11,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/31/2015,-5,6,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/01/2015,-2,11,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/02/2015,14,24,4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/03/2015,14,22,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/04/2015,13,18,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/05/2015,5,11,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/06/2015,18,20,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/07/2015,12,16,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/08/2015,2,11,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/09/2015,11,25,-7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/10/2015,-6,-1,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/11/2015,-8,4,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/12/2015,2,6,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/13/2015,-22,,-30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/14/2015,-26,-22,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/15/2015,-17,-15,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/16/2015,-16,-14,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/17/2015,-21,-18,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/18/2015,-24,-16,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/19/2015,-28,-6,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/20/2015,-3,0,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/21/2015,-6,-3,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/22/2015,-20,-8,-30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/23/2015,-26,-2,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/24/2015,-5,3,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/25/2015,9,13,-7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/26/2015,9,16,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/27/2015,-2,8,-20,,,
