,Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
"BETHEL AIRPORT, AK US (USW00026615)",1/10/1960,,28,-27,0.05,0.8,11
"BETHEL AIRPORT, AK US (USW00026615)",1/11/1960,,-18,-29,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",1/12/1960,,-20,-30,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",1/13/1960,,-22,-33,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",1/14/1960,,-20,-25,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",1/15/1960,,-22,-29,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",1/16/1960,,0,-22,0.04,0.4,11
"BETHEL AIRPORT, AK US (USW00026615)",1/17/1960,,3,-8,0.01,0.1,11
"BETHEL AIRPORT, AK US (USW00026615)",1/18/1960,,2,-1,0.04,0.6,12
"BETHEL AIRPORT, AK US (USW00026615)",1/19/1960,,9,-11,0.13,1.6,13
"BETHEL AIRPORT, AK US (USW00026615)",1/20/1960,,7,-13,0.01,0.4,14
"BETHEL AIRPORT, AK US (USW00026615)",1/21/1960,,32,4,0.1,1.5,15
"BETHEL AIRPORT, AK US (USW00026615)",1/22/1960,,38,29,0.13,1.5,17
"BETHEL AIRPORT, AK US (USW00026615)",1/23/1960,,39,33,0.04,0.1,15
"BETHEL AIRPORT, AK US (USW00026615)",1/24/1960,,39,32,0.01,0,14
"BETHEL AIRPORT, AK US (USW00026615)",1/25/1960,,36,24,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/26/1960,,39,18,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/27/1960,,18,10,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/28/1960,,11,-1,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/29/1960,,2,-17,0.03,0.3,13
"BETHEL AIRPORT, AK US (USW00026615)",1/30/1960,,-16,-24,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/31/1960,,-12,-23,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/1/1960,,-6,-23,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/2/1960,,0,-7,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/3/1960,,8,-6,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/4/1960,,20,7,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/5/1960,,20,12,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/6/1960,,19,8,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/7/1960,,13,2,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/8/1960,,12,-2,0.03,1,13
"BETHEL AIRPORT, AK US (USW00026615)",2/9/1960,,12,2,0.04,0.7,14
"BETHEL AIRPORT, AK US (USW00026615)",2/10/1960,,8,-7,0,0.3,15
"BETHEL AIRPORT, AK US (USW00026615)",2/11/1960,,7,0,0.03,0.6,16
"BETHEL AIRPORT, AK US (USW00026615)",2/12/1960,,4,-22,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/13/1960,,-20,-30,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/14/1960,,-17,-31,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/15/1960,,5,-24,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/16/1960,,37,-7,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/17/1960,,39,35,0,0,15
"BETHEL AIRPORT, AK US (USW00026615)",2/18/1960,,39,12,0,0,14
"BETHEL AIRPORT, AK US (USW00026615)",2/19/1960,,15,0,0,0,14
"BETHEL AIRPORT, AK US (USW00026615)",2/20/1960,,34,1,0.11,2.5,14
"BETHEL AIRPORT, AK US (USW00026615)",2/21/1960,,34,26,0.01,0.2,16
"BETHEL AIRPORT, AK US (USW00026615)",2/22/1960,,28,16,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/23/1960,,38,15,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/24/1960,,41,32,0,0,16
"BETHEL AIRPORT, AK US (USW00026615)",2/25/1960,,40,27,0,0,14
"BETHEL AIRPORT, AK US (USW00026615)",2/26/1960,,36,27,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",2/27/1960,,36,26,0.01,0.1,13
"BETHEL AIRPORT, AK US (USW00026615)",2/28/1960,,38,20,0,0,12
"BETHEL AIRPORT, AK US (USW00026615)",2/29/1960,,45,26,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/1/1960,,31,17,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/2/1960,,22,10,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/3/1960,,20,8,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/4/1960,,20,8,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/5/1960,,25,6,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/6/1960,,13,-1,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/7/1960,,8,-7,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/8/1960,,7,-9,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/9/1960,,5,-10,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/10/1960,,1,-12,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/11/1960,,10,-5,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/12/1960,,7,-4,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/13/1960,,9,-7,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",3/14/1960,,11,-7,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",3/15/1960,,6,-13,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",3/16/1960,,7,-11,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",3/17/1960,,6,-12,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",3/18/1960,,5,-12,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",3/19/1960,,8,-12,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",3/20/1960,,19,-2,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",3/21/1960,,23,6,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",3/22/1960,,32,9,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",3/23/1960,,43,20,0.02,0.4,4
"BETHEL AIRPORT, AK US (USW00026615)",3/24/1960,,34,15,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",3/25/1960,,32,15,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",3/26/1960,,29,11,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",3/27/1960,,23,9,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",3/28/1960,,15,5,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",3/29/1960,,17,-1,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",3/30/1960,,13,0,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",3/31/1960,,15,-2,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/1/1960,,15,-1,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/2/1960,,15,-6,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/3/1960,,12,-8,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/4/1960,,7,-9,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",4/5/1960,,9,-14,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/6/1960,,8,-12,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/7/1960,,7,-6,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/8/1960,,9,-8,0.01,0.2,1
"BETHEL AIRPORT, AK US (USW00026615)",4/9/1960,,15,-3,0.04,0.7,1
"BETHEL AIRPORT, AK US (USW00026615)",4/10/1960,,15,5,0.08,1.8,3
"BETHEL AIRPORT, AK US (USW00026615)",4/11/1960,,14,-12,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/12/1960,,26,0,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/13/1960,,18,2,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/14/1960,,25,5,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/15/1960,,28,5,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",4/16/1960,,28,8,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",4/17/1960,,17,-1,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/18/1960,,13,-8,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/19/1960,,15,-9,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/20/1960,,24,-5,0.1,1.6,1
"BETHEL AIRPORT, AK US (USW00026615)",4/21/1960,,20,-3,0.06,0.9,3
"BETHEL AIRPORT, AK US (USW00026615)",4/22/1960,,39,19,0.15,1.2,4
"BETHEL AIRPORT, AK US (USW00026615)",4/23/1960,,35,10,0.28,2,1
"BETHEL AIRPORT, AK US (USW00026615)",4/24/1960,,18,1,0.01,0.2,3
"BETHEL AIRPORT, AK US (USW00026615)",4/25/1960,,15,-3,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/26/1960,,23,-2,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/27/1960,,30,10,0.01,0.2,3
"BETHEL AIRPORT, AK US (USW00026615)",4/28/1960,,38,15,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",4/29/1960,,37,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/30/1960,,46,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/1/1960,,50,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/2/1960,,50,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/3/1960,,51,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/4/1960,,56,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/5/1960,,54,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/6/1960,,59,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/7/1960,,50,31,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/8/1960,,40,30,0.08,0.6,1
"BETHEL AIRPORT, AK US (USW00026615)",5/9/1960,,40,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/10/1960,,43,32,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/11/1960,,44,34,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/12/1960,,43,32,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/13/1960,,50,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/14/1960,,56,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/15/1960,,64,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/16/1960,,57,41,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/17/1960,,55,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/18/1960,,55,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/19/1960,,52,31,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/20/1960,,62,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/21/1960,,51,43,0.41,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/22/1960,,47,38,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/23/1960,,49,36,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/24/1960,,52,35,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/25/1960,,64,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/26/1960,,76,43,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/27/1960,,52,42,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/28/1960,,51,37,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/29/1960,,50,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/30/1960,,44,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/31/1960,,50,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/1/1960,,49,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/2/1960,,56,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/3/1960,,57,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/4/1960,,67,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/5/1960,,72,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/6/1960,,69,48,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/7/1960,,71,40,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/8/1960,,67,40,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/9/1960,,65,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/10/1960,,65,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/11/1960,,60,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/12/1960,,55,39,0.04,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/13/1960,,62,42,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/14/1960,,62,44,0.11,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/15/1960,,53,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/16/1960,,57,37,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/17/1960,,50,38,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/18/1960,,55,38,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/19/1960,,72,38,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/20/1960,,68,42,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/21/1960,,62,48,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/22/1960,,54,43,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/23/1960,,51,43,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/24/1960,,51,43,0.58,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/25/1960,,55,43,0.28,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/26/1960,,47,41,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/27/1960,,55,42,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/28/1960,,55,46,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/29/1960,,57,42,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/30/1960,,62,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/1/1960,,67,51,0.19,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/2/1960,,64,50,0.38,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/3/1960,,68,48,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/4/1960,,55,45,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/5/1960,,60,46,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/6/1960,,64,46,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/7/1960,,56,41,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/8/1960,,52,43,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/9/1960,,63,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/10/1960,,55,49,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/11/1960,,70,50,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/12/1960,,79,52,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/13/1960,,83,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/14/1960,,83,58,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/15/1960,,74,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/16/1960,,80,50,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/17/1960,,79,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/18/1960,,71,52,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/19/1960,,71,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/20/1960,,73,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/21/1960,,56,49,0.29,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/22/1960,,56,48,0.15,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/23/1960,,58,51,0.78,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/24/1960,,57,48,0.34,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/25/1960,,56,47,0.07,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/26/1960,,56,48,0.31,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/27/1960,,57,47,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/28/1960,,58,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/29/1960,,56,48,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/30/1960,,59,47,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/31/1960,,59,48,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/1/1960,,61,47,0.09,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/2/1960,,57,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/3/1960,,59,42,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/4/1960,,55,48,0.33,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/5/1960,,55,46,0.29,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/6/1960,,58,45,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/7/1960,,53,47,0.89,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/8/1960,,55,49,0.08,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/9/1960,,61,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/10/1960,,69,41,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/11/1960,,73,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/12/1960,,59,50,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/13/1960,,61,52,0.2,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/14/1960,,58,51,0.08,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/15/1960,,56,49,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/16/1960,,54,43,0.49,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/17/1960,,53,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/18/1960,,55,36,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/19/1960,,54,39,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/20/1960,,53,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/21/1960,,52,43,0.17,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/22/1960,,56,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/23/1960,,60,44,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/24/1960,,61,43,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/25/1960,,57,49,0.58,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/26/1960,,53,39,0.2,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/27/1960,,51,34,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/28/1960,,51,33,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/29/1960,,55,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/30/1960,,52,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/31/1960,,50,40,0.22,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/1/1960,,53,47,0.67,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/2/1960,,48,41,0.03,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/3/1960,,49,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/4/1960,,47,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/5/1960,,50,30,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/6/1960,,54,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/7/1960,,54,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/8/1960,,48,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/9/1960,,57,37,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/10/1960,,55,43,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/11/1960,,56,43,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/12/1960,,51,39,0.17,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/13/1960,,46,39,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/14/1960,,54,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/15/1960,,56,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/16/1960,,58,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/17/1960,,49,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/18/1960,,52,26,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/19/1960,,52,41,0.13,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/20/1960,,51,42,0.08,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/21/1960,,52,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/22/1960,,41,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/23/1960,,37,25,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/24/1960,,41,25,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/25/1960,,45,30,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/26/1960,,46,32,0.43,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/27/1960,,48,43,0.93,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/28/1960,,46,34,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/29/1960,,44,34,0.49,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/30/1960,,48,40,0.13,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/1/1960,,46,37,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/2/1960,,48,36,0.57,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/3/1960,,48,39,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/4/1960,,42,31,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/5/1960,,38,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/6/1960,,31,18,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/7/1960,,29,15,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/8/1960,,35,26,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/9/1960,,31,28,0.02,0.2,0
"BETHEL AIRPORT, AK US (USW00026615)",10/10/1960,,34,24,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/11/1960,,40,21,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/12/1960,,43,29,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/13/1960,,36,27,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/14/1960,,37,22,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/15/1960,,33,18,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/16/1960,,37,23,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/17/1960,,37,25,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/18/1960,,37,22,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/19/1960,,31,19,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/20/1960,,41,28,0.24,0.1,0
"BETHEL AIRPORT, AK US (USW00026615)",10/21/1960,,46,30,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/22/1960,,35,25,0.25,1.3,0
"BETHEL AIRPORT, AK US (USW00026615)",10/23/1960,,37,22,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",10/24/1960,,29,20,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",10/25/1960,,25,14,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",10/26/1960,,28,14,0.01,0.1,1
"BETHEL AIRPORT, AK US (USW00026615)",10/27/1960,,27,18,0.02,0.4,1
"BETHEL AIRPORT, AK US (USW00026615)",10/28/1960,,29,8,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",10/29/1960,,27,12,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",10/30/1960,,21,12,0.01,0.1,2
"BETHEL AIRPORT, AK US (USW00026615)",10/31/1960,,25,16,0.01,0.3,2
"BETHEL AIRPORT, AK US (USW00026615)",11/1/1960,,25,8,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",11/2/1960,,34,6,0.02,0.2,2
"BETHEL AIRPORT, AK US (USW00026615)",11/3/1960,,25,18,0.11,2.3,3
"BETHEL AIRPORT, AK US (USW00026615)",11/4/1960,,29,20,0.03,0.6,6
"BETHEL AIRPORT, AK US (USW00026615)",11/5/1960,,24,5,0.01,0.1,6
"BETHEL AIRPORT, AK US (USW00026615)",11/6/1960,,38,21,0.04,0.2,6
"BETHEL AIRPORT, AK US (USW00026615)",11/7/1960,,43,36,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/8/1960,,41,35,0.04,0,0
"BETHEL AIRPORT, AK US (USW00026615)",11/9/1960,,42,33,0.09,0,0
"BETHEL AIRPORT, AK US (USW00026615)",11/10/1960,,37,32,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",11/11/1960,,33,20,0.03,0.1,0
"BETHEL AIRPORT, AK US (USW00026615)",11/12/1960,,32,22,0.1,1.2,1
"BETHEL AIRPORT, AK US (USW00026615)",11/13/1960,,27,16,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",11/14/1960,,33,18,0.11,1.3,2
"BETHEL AIRPORT, AK US (USW00026615)",11/15/1960,,31,18,0.02,0.2,3
"BETHEL AIRPORT, AK US (USW00026615)",11/16/1960,,19,6,0.01,0.1,3
"BETHEL AIRPORT, AK US (USW00026615)",11/17/1960,,15,2,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/18/1960,,12,4,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/19/1960,,10,2,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/20/1960,,4,-10,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/21/1960,,1,-11,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/22/1960,,-2,-13,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",11/23/1960,,-4,-13,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",11/24/1960,,29,-8,0.09,1.1,2
"BETHEL AIRPORT, AK US (USW00026615)",11/25/1960,,29,19,0.14,2.6,4
